ID,Clause_id,Clause,Stakeholders,Comment,Label,Confidence
1,1.1,Freedom of Speech protected under First Amendment.,Industry,considered positive impact,Error,0.0
2,2.1,Cybersecurity law requires real-name registration online.,Public,people will support this clause,Error,0.0
3,3.1,Cybersecurity law requires real-name registration online.,Corporate,this clause is beneficial,Error,0.0
4,1.2,Consumer Protection Act safeguards buyers from unfair practices.,Public,creates additional burden,negative,0.6254
5,2.2,Health and Safety at Work Act ensures workplace safety.,Industry,maximum will agree with this,Error,0.0
6,3.2,Health and Safety at Work Act ensures workplace safety.,Politician,we strongly support it,Error,0.0
7,1.3,Anti-Discrimination laws prohibit bias in employment.,Public,we strongly support it,Error,0.0
8,2.3,Data protection law requires companies to protect user data.,Corporate,it will help corporate employees,Error,0.0
9,3.3,Minimum wage laws ensure fair pay for workers.,Industry,strongly support it,Error,0.0
10,4.1,Freedom of Speech protected under First Amendment.,Corporate,most of the people will not suppoet it,negative,0.5713
11,4.2,Freedom of Speech protected under First Amendment.,Corporate,most of the people will not suppoet it,negative,0.5713
12,1.1,Health and Safety at Work Act ensures workplace safety.,Politician,considered positive impact,Error,0.0
13,2.1,Anti-Discrimination laws prohibit bias in employment.,Public,it brings positive change,Error,0.0
14,3.1,Environmental Protection Act mandates pollution control.,Corporate,not a good decision,negative,0.8403
15,1.2,Data protection law requires companies to protect user data.,Public,wellreceived by stakeholders,Error,0.0
16,2.2,Minimum wage laws ensure fair pay for workers.,Public,this clause is beneficial,Error,0.0
17,3.2,Right to Information Act allows citizens to request government records.,Corporate,considered as positive,Error,0.0
18,1.3,Freedom of Speech protected under First Amendment.,Politician,considered positive impact in society,Error,0.0
19,2.3,Freedom of Speech protected under First Amendment.,Public,it brings positive change,Error,0.0
20,3.3,Anti-Discrimination laws prohibit bias in employment.,Corporate,it will not be harmful for corporate employees,positive,0.633
21,4.1,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,this clause is helpful,Error,0.0
22,4.2,Cybersecurity law requires real-name registration online.,Corporate,it brings positive impact,Error,0.0
23,1.1,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,creates additional profit,positive,0.7171
24,2.1,Data protection law requires companies to protect user data.,Public,wellreceived by stakeholders,Error,0.0
25,3.1,Environmental Protection Act mandates pollution control.,Public,impact is yet to be seen,positive,0.7495
26,1.2,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,it is harmful for corporate employees,negative,0.9471
27,2.2,Affordable Care Act provides healthcare access.,Politician,society will take it positively,Error,0.0
28,3.2,Health and Safety at Work Act ensures workplace safety.,Public,people will support this,Error,0.0
29,1.3,Freedom of Speech protected under First Amendment.,Corporate,negative impact to society,negative,0.9054
30,2.3,Right to Information Act allows citizens to request government records.,Public,this clause is problematic,negative,0.9434
31,3.3,Freedom of Speech protected under First Amendment.,Public,many disagree with this,negative,0.6495
32,4.1,Environmental Protection Act mandates pollution control.,Industry,it will bring positive impact on industry,Error,0.0
33,4.2,Affordable Care Act provides healthcare access.,Politician,this clause is problematic,negative,0.9434
34,1.1,Data protection law requires companies to protect user data.,Politician,mixed opinions on this,positive,0.7591
35,2.1,Cybersecurity law requires real-name registration online.,Public,people will not support it,negative,0.8865
36,3.1,Data protection law requires companies to protect user data.,Industry,people will strongly support this,Error,0.0
37,1.2,Environmental Protection Act mandates pollution control.,Corporate,good decision,Error,0.0
38,2.2,Affordable Care Act provides healthcare access.,Industry,industry will get a lot of help from this,Error,0.0
39,3.2,Data protection law requires companies to protect user data.,Politician,it brings challenges,Error,0.0
40,1.3,Affordable Care Act provides healthcare access.,Politician,this clause is beneficial,Error,0.0
41,2.3,Freedom of Speech protected under First Amendment.,Corporate,tv channels will misuse on it,positive,0.7475
42,3.3,Affordable Care Act provides healthcare access.,Corporate,it brings positive change,Error,0.0
43,4.1,Cybersecurity law requires real-name registration online.,Public,creates additional burden,negative,0.6254
44,4.2,Environmental Protection Act mandates pollution control.,Public,helps improve the system,Error,0.0
45,1.1,Freedom of Speech protected under First Amendment.,Public,it brings challenges,Error,0.0
46,2.1,Right to Information Act allows citizens to request government records.,Politician,it brings positive change,Error,0.0
47,3.1,Data protection law requires companies to protect user data.,Industry,considered regressive,positive,0.546
48,1.2,Data protection law requires companies to protect user data.,Politician,considered progressive,positive,0.7395
49,2.2,Environmental Protection Act mandates pollution control.,Public,helps improve the system,Error,0.0
